ticker,company_name,sector,industry,current_price,market_cap,trailing_pe,forward_pe,eps_current_year,forward_eps,earnings_growth_decimal,revenue_growth_decimal,peg_ratio_raw,peg_ratio_fallback,peg_ratio_final,sec_filings_url
TYL,Tyler Technologies,Information Technology,Application Software,601.64,25749350400.0,110.39267,,5.45,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TYL
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,56.49,20120213504.0,25.106667,,2.25,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSN
USB,U.S. Bancorp,Financials,Diversified Banks,47.78,74536796160.0,12.60686,,3.79,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
UBER,Uber,Industrials,Passenger Ground Transportation,66.85,140766707712.0,32.931034,,2.03,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UBER
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,41.74,15680049152.0,109.84211,,0.38,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UDR
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,412.15,19112425472.0,16.492598,,24.99,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ULTA
UNP,Union Pacific Corporation,Industrials,Rail Transportation,247.79,150224420864.0,22.323421,,11.1,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP
UAL,United Airlines Holdings,Industrials,Passenger Airlines,105.84,34808233984.0,11.2,,9.45,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAL
UPS,United Parcel Service,Industrials,Air Freight & Logistics,114.23,97480458240.0,16.948072,,6.74,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS
URI,United Rentals,Industrials,Trading Companies & Distributors,758.06,49506701312.0,19.588114,,38.7,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URI
UNH,UnitedHealth Group,Health Care,Managed Health Care,542.49,502079356928.0,35.203762,,15.41,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
UHS,Universal Health Services,Health Care,Health Care Facilities,188.56,12438473728.0,12.562291,,15.01,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UHS
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,133.0,42105802752.0,15.48312,,8.59,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLO
VTR,Ventas,Real Estate,Health Care REITs,60.42,25346854912.0,,,-0.14,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VTR
VLTO,Veralto,Industrials,Environmental & Facilities Services,103.39,25569173504.0,31.910494,,3.24,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLTO
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,215.0,20661499904.0,25.058275,,8.58,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSN
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,287.44,40589692928.0,44.358025,,6.48,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSK
VZ,Verizon,Communication Services,Integrated Telecommunication Services,39.39,165817319424.0,9.514493,,4.14,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VZ
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,461.68,118895984640.0,,,-1.89,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRTX
VTRS,Viatris,Health Care,Pharmaceuticals,11.28,13463695360.0,,,-0.73,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VTRS
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,29.77,31382640640.0,11.025926,,2.7,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VICI
V,Visa Inc.,Financials,Transaction & Payment Processing Services,341.8,662322937856.0,34.59514,,9.88,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=V
VST,Vistra Corp.,Utilities,Electric Utilities,168.03,57168171008.0,31.644068,,5.31,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VST
